Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
0,23.78,24.32,23.96,23.69
1,23.96,24.32,23.96,23.69
2,23.78,24.41,24.05,23.69
3,23.87,24.41,24.05,23.69
4,23.87,24.32,24.05,23.69
5,23.87,24.41,23.96,23.69
6,23.87,24.41,24.05,23.78
7,23.87,24.32,23.96,23.78
8,23.87,24.32,24.05,23.69
9,23.87,24.32,23.96,23.69
10,23.78,24.32,24.05,23.69
11,23.87,24.32,23.96,23.78
12,23.87,24.32,23.96,23.78
13,23.78,24.32,23.96,23.69
14,23.87,24.32,23.96,23.78
15,23.87,24.32,23.96,23.69
16,23.87,24.32,23.96,23.69
17,23.87,24.32,23.96,23.69
18,23.78,24.32,24.05,23.69
19,23.87,24.32,23.96,23.78
20,23.78,24.32,23.96,23.69
21,23.96,24.32,23.96,23.69
22,24.14,24.32,24.05,23.69
23,24.32,24.41,23.96,23.69
24,24.59,24.32,23.96,23.69
25,24.86,24.41,23.96,23.69
26,25.13,24.32,23.96,23.60
27,25.40,24.41,23.96,23.60
28,25.58,24.41,23.96,23.60
29,25.86,24.41,23.96,23.60
30,26.13,24.50,23.96,23.60
31,26.40,24.50,23.96,23.51
32,26.68,24.50,23.96,23.51
33,26.86,24.59,23.96,23.42
34,27.13,24.68,23.96,23.42
35,27.41,24.68,23.96,23.42
36,27.69,24.77,23.96,23.42
37,27.96,24.77,23.96,23.42
38,28.24,24.95,23.96,23.42
39,28.42,24.95,24.05,23.33
40,28.70,25.04,24.05,23.33
41,28.89,25.13,24.05,23.24
42,29.07,25.22,24.05,23.24
43,29.26,25.31,24.14,23.24
44,29.45,25.40,24.14,23.24
45,29.54,25.49,24.14,23.24
46,29.73,25.58,24.14,23.15
47,29.82,25.67,24.23,23.15
48,30.01,25.77,24.23,23.15
49,30.10,25.86,24.32,23.06
50,30.29,25.95,24.41,23.15
51,30.48,25.95,24.41,23.06
52,30.57,26.13,24.41,23.06
53,30.76,26.13,24.41,23.06
54,30.86,26.31,24.50,23.06
55,31.05,26.31,24.59,22.97
56,31.14,26.49,24.59,22.97
57,31.24,26.59,24.68,23.06
58,31.33,26.59,24.77,22.97
59,31.43,26.68,24.77,22.97
60,31.62,26.77,24.77,22.88
61,31.62,26.86,24.86,22.97
62,31.72,26.95,24.95,22.88
63,31.81,27.04,25.04,22.88
64,31.91,27.13,25.04,22.97
65,32.00,27.23,25.13,22.88
66,32.10,27.32,25.22,22.88
67,32.20,27.32,25.22,22.88
68,32.29,27.50,25.31,22.88
69,32.39,27.50,25.31,22.88
70,32.39,27.59,25.40,22.88
71,32.49,27.69,25.58,22.88
72,32.58,27.78,25.58,22.79
73,32.68,27.78,25.67,22.79
74,32.78,27.87,25.67,22.79
75,32.87,27.96,25.77,22.79
76,32.87,28.05,25.86,22.79
77,32.97,28.15,25.86,22.88
78,33.07,28.24,25.95,22.79
79,33.16,28.33,26.04,22.79
80,33.26,28.33,26.04,22.79
81,33.36,28.42,26.13,22.79
82,33.36,28.52,26.22,22.79
83,33.46,28.52,26.22,22.79
84,33.55,28.61,26.31,22.70
85,33.65,28.70,26.40,22.70
86,33.65,28.79,26.49,22.79
87,33.75,28.79,26.49,22.70
88,33.75,28.89,26.59,22.70
89,33.85,28.98,26.68,22.70
90,33.85,29.07,26.77,22.70
91,33.85,29.07,26.77,22.70
92,33.95,29.17,26.86,22.70
93,34.04,29.26,26.95,22.70
94,34.14,29.26,26.95,22.70
95,34.24,29.35,27.04,22.79
96,34.24,29.45,27.13,22.70
97,34.34,29.45,27.23,22.70
98,34.34,29.54,27.23,22.70
99,34.44,29.54,27.32,22.70
100,34.44,29.63,27.41,22.70
101,34.54,29.73,27.50,22.70
102,34.64,29.82,27.50,22.70
103,34.64,29.82,27.59,22.61
104,34.64,29.92,27.59,22.70
105,34.74,30.01,27.69,22.70
106,34.84,30.10,27.78,22.61
107,34.84,30.10,27.78,22.70
108,34.94,30.20,27.87,22.61
109,35.04,30.29,27.87,22.61
110,35.14,30.29,27.96,22.70
111,35.24,30.39,28.05,22.61
112,35.24,30.39,28.15,22.61
113,35.24,30.48,28.15,22.70
114,35.24,30.57,28.24,22.70
115,35.44,30.57,28.33,22.70
116,35.34,30.67,28.33,22.61
117,35.44,30.67,28.33,22.61
118,35.54,30.76,28.42,22.61
119,35.54,30.76,28.52,22.70
120,35.54,30.86,28.52,22.61
121,35.64,30.95,28.61,22.61
122,35.64,30.95,28.70,22.61
123,35.64,30.95,28.70,22.61
124,35.74,31.05,28.70,22.61
125,35.84,31.14,28.79,22.61
126,35.84,31.14,28.79,22.61
127,35.94,31.24,28.89,22.61
128,35.94,31.24,28.98,22.61
129,36.04,31.33,28.98,22.61
130,36.04,31.33,29.07,22.61
131,36.04,31.33,29.07,22.61
132,36.04,31.43,29.17,22.61
133,36.14,31.43,29.26,22.61
134,36.14,31.52,29.26,22.61
135,36.24,31.62,29.26,22.61
136,36.24,31.62,29.35,22.61
137,36.24,31.72,29.35,22.61
138,36.45,31.72,29.45,22.61
139,36.35,31.81,29.45,22.61
140,36.45,31.81,29.54,22.61
141,36.45,31.81,29.54,22.61
142,36.45,32.00,29.63,22.61
143,36.55,32.00,29.63,22.61
144,36.55,32.00,29.73,22.61
145,36.65,32.00,29.73,22.61
146,36.65,32.10,29.73,22.61
147,36.75,32.10,29.92,22.61
148,36.75,32.20,29.92,22.61
149,36.75,32.29,29.92,22.52
150,36.86,32.29,30.01,22.61
151,36.86,32.29,30.01,22.52
152,36.86,32.39,30.10,22.61
153,36.86,32.49,30.10,22.52
154,36.96,32.49,30.10,22.61
155,36.96,32.49,30.20,22.61
156,37.06,32.49,30.20,22.52
157,37.16,32.58,30.29,22.61
158,37.27,32.58,30.29,22.61
159,37.16,32.68,30.39,22.61
160,37.27,32.68,30.39,22.61
161,37.27,32.78,30.39,22.52
162,37.27,32.78,30.48,22.61
163,37.27,32.78,30.57,22.61
164,37.27,32.87,30.57,22.61
165,37.37,32.87,30.57,22.61
166,37.37,32.97,30.67,22.61
167,37.47,32.97,30.76,22.61
168,37.47,32.97,30.76,22.61
169,37.58,33.07,30.86,22.61
170,37.58,33.07,30.76,22.61
171,37.58,33.07,30.86,22.61
172,37.58,33.16,30.86,22.61
173,37.68,33.16,30.86,22.61
174,37.68,33.16,30.95,22.61
175,37.68,33.26,30.95,22.61
176,37.78,33.26,31.05,22.61
177,37.78,33.36,31.05,22.61
178,37.78,33.36,31.05,22.61
179,37.78,33.36,31.14,22.61
180,37.89,33.36,31.14,22.61
181,37.89,33.46,31.14,22.61
182,37.99,33.46,31.24,22.61
183,37.99,33.55,31.24,22.61
184,37.99,33.55,31.33,22.61
185,37.99,33.55,31.33,22.61
186,38.10,33.65,31.33,22.61
187,37.99,33.65,31.33,22.61
188,37.99,33.65,31.43,22.70
189,37.99,33.65,31.43,22.61
190,38.10,33.75,31.43,22.61
191,38.10,33.75,31.52,22.70
192,38.10,33.75,31.52,22.61
193,38.10,33.75,31.52,22.61
194,38.20,33.85,31.62,22.61
195,38.20,33.85,31.62,22.61
196,38.20,33.95,31.72,22.70
197,38.31,33.95,31.72,22.70
198,38.31,33.95,31.72,22.61
199,38.31,34.04,31.72,22.70
200,38.31,34.04,31.81,22.70
202,38.41,34.04,31.81,22.70
203,38.41,34.14,31.91,22.70
204,38.41,34.14,31.91,22.70
205,38.41,34.14,31.91,22.70
206,38.52,34.14,31.91,22.70
207,38.41,34.24,32.00,22.70
208,38.52,34.24,32.00,22.70
209,38.52,34.24,32.10,22.61
210,38.62,34.24,32.10,22.70
211,38.62,34.24,32.10,22.70
212,38.62,34.34,32.10,22.70
213,38.73,34.34,32.20,22.61
214,38.73,34.44,32.20,22.70
215,38.73,34.44,32.20,22.70
216,38.73,34.44,32.20,22.70
217,38.73,34.44,32.20,22.70
218,38.83,34.44,32.20,22.70
219,38.83,34.54,32.29,22.79
220,38.83,34.54,32.29,22.70
221,38.94,34.54,32.29,22.70
222,39.04,34.64,32.29,22.70
223,38.94,34.54,32.29,22.70
224,38.94,34.64,32.39,22.70
225,38.94,34.74,32.39,22.70
226,39.04,34.74,32.39,22.70
227,38.94,34.74,32.49,22.70
228,39.04,34.74,32.49,22.70
229,39.04,34.84,32.58,22.70
230,39.04,34.84,32.49,22.70
231,39.04,34.84,32.58,22.70
232,39.04,34.84,32.58,22.70
233,39.15,34.94,32.68,22.70
234,39.15,34.94,32.68,22.70
235,39.15,34.94,32.68,22.70
236,39.26,34.94,32.68,22.70
237,39.26,34.94,32.78,22.70
238,39.26,35.04,32.78,22.70
239,39.36,35.04,32.78,22.79
240,39.36,35.04,32.87,22.70
241,39.47,35.14,32.87,22.70
242,39.47,35.14,32.87,22.70
243,39.47,35.14,32.97,22.70
244,39.47,35.24,32.97,22.70
245,39.47,35.24,32.97,22.70
246,39.47,35.34,32.97,22.79
247,39.58,35.24,32.97,22.70
248,39.58,35.34,32.97,22.79
249,39.58,35.34,33.07,22.79
250,39.68,35.34,33.07,22.79
251,39.68,35.34,33.16,22.79
252,39.68,35.34,33.07,22.79
253,39.68,35.44,33.07,22.79
254,39.79,35.34,33.16,22.79
255,39.79,35.44,33.16,22.79
256,39.79,35.44,33.16,22.79
257,39.79,35.44,33.16,22.79
258,39.79,35.54,33.26,22.88
259,39.79,35.44,33.26,22.79
260,39.79,35.54,33.26,22.88
261,39.79,35.54,33.36,22.79
262,39.90,35.54,33.36,22.88
263,39.90,35.64,33.36,22.79
264,39.90,35.64,33.36,22.88
265,40.01,35.64,33.46,22.79
266,39.90,35.64,33.36,22.88
267,40.01,35.64,33.46,22.88
268,39.90,35.64,33.46,22.88
269,40.01,35.64,33.46,22.97
270,40.01,35.84,33.46,22.88
271,40.01,35.74,33.46,22.97
272,40.12,35.74,33.46,22.88
273,40.01,35.84,33.46,22.88
274,40.12,35.84,33.55,22.88
275,40.12,35.84,33.55,22.88
276,40.12,35.84,33.55,22.88
277,40.12,35.84,33.55,22.88
278,40.22,35.84,33.55,22.88
279,40.22,35.94,33.65,22.88
280,40.22,35.94,33.55,22.88
281,40.33,35.94,33.65,22.88
282,40.22,35.94,33.65,22.88
283,40.22,36.04,33.65,22.88
284,40.22,35.94,33.65,22.88
285,40.33,36.04,33.65,22.97
286,40.33,36.04,33.65,22.88
287,40.33,36.04,33.75,22.97
288,40.33,36.04,33.65,22.88
289,40.44,36.04,33.65,22.88
290,40.44,36.04,33.75,22.88
291,40.44,36.14,33.75,22.97
292,40.44,36.14,33.75,22.97
293,40.55,36.14,33.75,22.97
294,40.55,36.14,33.75,22.97
295,40.55,36.24,33.85,22.97
296,40.55,36.14,33.85,22.97
297,40.55,36.24,33.85,22.97
298,40.55,36.24,33.95,22.97
299,40.55,36.24,33.95,22.97
300,40.55,36.35,33.95,22.97
301,40.55,36.24,33.95,22.97
302,40.66,36.24,33.95,22.97
303,40.55,36.35,33.95,22.97
304,40.66,36.35,34.04,23.06
305,40.55,36.35,34.04,22.97
306,40.55,36.35,34.04,22.97
307,40.66,36.35,34.14,22.97
308,40.66,36.35,34.14,22.97
309,40.55,36.35,34.14,23.06
310,40.66,36.35,34.14,23.06
311,40.66,36.45,34.14,22.97
312,40.66,36.45,34.24,23.06
313,40.66,36.45,34.24,23.06
314,40.66,36.45,34.24,23.06
315,40.66,36.55,34.14,23.06
316,40.66,36.45,34.24,23.06
317,40.66,36.45,34.14,23.06
318,40.77,36.55,34.14,22.97
319,40.66,36.55,34.24,23.06
320,40.77,36.55,34.24,23.06
321,40.77,36.55,34.24,23.06
322,40.77,36.55,34.24,23.06
323,40.77,36.55,34.24,23.06
324,40.77,36.55,34.34,23.06
325,40.77,36.55,34.34,23.15
326,40.77,36.55,34.34,23.06
327,40.77,36.65,34.34,23.06
328,40.88,36.65,34.44,23.15
329,40.77,36.65,34.34,23.06
330,40.77,36.65,34.44,23.15
331,40.77,36.65,34.44,23.06
332,40.99,36.65,34.44,23.06
333,40.88,36.75,34.44,23.06
334,40.88,36.75,34.44,23.06
335,40.88,36.75,34.44,23.06
336,40.88,36.75,34.44,23.15
337,40.88,36.75,34.54,23.06
338,40.99,36.75,34.54,23.06
339,40.99,36.75,34.64,23.06
340,40.99,36.75,34.54,23.06
341,40.99,36.86,34.54,23.06
342,40.99,36.86,34.54,23.06
343,40.99,36.86,34.54,23.06
344,40.99,36.86,34.54,23.06
345,40.99,36.86,34.54,23.06
346,40.99,36.86,34.54,23.15
347,41.10,36.86,34.64,23.15
348,40.99,36.86,34.54,23.15
349,41.10,36.86,34.54,23.06
350,41.10,36.96,34.64,23.15
351,41.10,36.96,34.64,23.06
352,41.10,36.96,34.64,23.15
353,41.10,36.96,34.64,23.15
354,41.10,36.96,34.64,23.15
355,41.21,36.96,34.64,23.15
356,41.21,36.96,34.64,23.24
357,41.10,37.06,34.64,23.15
358,41.21,36.96,34.64,23.24
359,41.21,37.06,34.64,23.15
360,41.21,37.06,34.64,23.15
361,41.32,37.06,34.64,23.15
362,41.21,37.06,34.64,23.15
363,41.21,37.06,34.74,23.15
364,41.32,37.06,34.74,23.15
365,41.32,37.06,34.74,23.15
366,41.21,37.06,34.74,23.15
367,41.21,37.16,34.84,23.15
368,41.21,37.16,34.74,23.15
369,41.21,37.06,34.84,23.15
370,41.32,37.06,34.84,23.24
371,41.21,37.16,34.84,23.15
372,41.32,37.06,34.84,23.24
373,41.32,37.16,34.84,23.15
374,41.32,37.16,34.94,23.15
375,41.43,37.16,34.84,23.15
376,41.32,37.16,34.94,23.15
377,41.32,37.16,34.84,23.24
378,41.32,37.16,34.94,23.15
379,41.32,37.27,34.94,23.24
380,41.43,37.27,34.94,23.15
381,41.43,37.27,34.94,23.15
382,41.43,37.27,34.94,23.24
383,41.43,37.37,34.94,23.15
384,41.43,37.37,34.94,23.15
385,41.43,37.37,34.94,23.15
386,41.43,37.37,35.04,23.24
387,41.43,37.27,35.04,23.24
388,41.43,37.37,35.04,23.15
389,41.43,37.37,35.04,23.24
390,41.43,37.37,35.04,23.15
391,41.43,37.27,35.04,23.24
392,41.43,37.27,35.04,23.24
393,41.54,37.27,35.04,23.15
394,41.43,37.37,35.14,23.24
395,41.43,37.37,35.04,23.24
396,41.43,37.37,35.14,23.15
397,41.43,37.37,35.14,23.24
398,41.43,37.37,35.14,23.24
399,41.54,37.37,35.14,23.24
400,41.43,37.37,35.14,23.24
401,41.54,37.37,35.04,23.24
402,41.43,37.37,35.14,23.24
403,41.54,37.37,35.14,23.24
404,41.54,37.37,35.04,23.24
406,41.54,37.47,35.04,23.24
407,41.65,37.37,35.14,23.24
408,41.54,37.37,35.14,23.24
409,41.54,37.47,35.04,23.24
410,41.65,37.47,35.04,23.24
411,41.65,37.47,35.04,23.24
412,41.54,37.47,35.14,23.24
413,41.65,37.47,35.14,23.24
414,41.65,37.58,35.14,23.24
415,41.65,37.47,35.14,23.24
416,41.65,37.47,35.14,23.24
417,41.65,37.58,35.14,23.24
418,41.65,37.47,35.14,23.33
419,41.65,37.58,35.14,23.24
420,41.65,37.58,35.14,23.33
421,41.65,37.58,35.24,23.33
422,41.65,37.58,35.24,23.24
423,41.76,37.58,35.24,23.24
424,41.65,37.58,35.24,23.24
425,41.65,37.47,35.24,23.33
426,41.65,37.47,35.24,23.24
427,41.65,37.58,35.24,23.24
428,41.76,37.58,35.24,23.24
429,41.65,37.68,35.24,23.24
430,41.65,37.58,35.34,23.33
431,41.76,37.58,35.24,23.24
432,41.76,37.58,35.34,23.24
433,41.76,37.68,35.24,23.24
434,41.76,37.58,35.24,23.24
435,41.76,37.58,35.24,23.24
436,41.76,37.58,35.24,23.33
437,41.76,37.68,35.24,23.33
438,41.87,37.68,35.24,23.24
439,41.76,37.68,35.34,23.33
440,41.65,37.68,35.34,23.24
441,41.54,37.68,35.34,23.24
442,41.43,37.78,35.34,23.24
443,41.54,37.78,35.34,23.24
444,41.54,37.78,35.34,23.24
445,41.54,37.78,35.34,23.33
446,41.54,37.78,35.34,23.24
447,41.43,37.78,35.44,23.33
448,41.43,37.78,35.44,23.33
449,41.54,37.68,35.44,23.33
450,41.54,37.68,35.44,23.33
451,41.43,37.68,35.44,23.33
452,41.43,37.58,35.54,23.33
453,41.32,37.68,35.54,23.33
454,41.43,37.58,35.54,23.33
455,41.32,37.68,35.64,23.24
456,41.43,37.68,35.64,23.24
457,41.43,37.68,35.64,23.33
458,41.54,37.68,35.64,23.33
459,41.54,37.68,35.64,23.33
460,41.54,37.78,35.64,23.24
461,41.65,37.78,35.64,23.24
462,41.65,37.68,35.64,23.24
463,41.65,37.68,35.64,23.33
464,41.76,37.78,35.64,23.33
465,41.76,37.68,35.54,23.33
466,41.87,37.78,35.54,23.33
467,41.76,37.78,35.64,23.33
468,41.87,37.78,35.64,23.24
469,41.76,37.78,35.64,23.24
470,41.76,37.78,35.54,23.24
471,41.87,37.78,35.64,23.33
472,41.87,37.78,35.64,23.33
473,41.87,37.78,35.64,23.33
474,41.87,37.89,35.64,23.24
