Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,23.42,23.60,23.42
1,23.42,23.60,23.42
2,23.42,23.60,23.42
3,23.33,23.60,23.33
4,23.51,23.60,23.42
5,23.96,23.60,23.42
6,24.68,23.60,23.42
7,25.40,23.60,23.42
8,26.04,23.60,23.42
9,26.68,23.69,23.42
10,27.23,23.69,23.42
11,27.69,23.69,23.42
12,28.15,23.78,23.42
13,28.61,23.87,23.42
14,29.07,23.96,23.42
15,29.35,24.05,23.42
16,29.73,24.14,23.42
17,30.10,24.32,23.42
18,30.39,24.41,23.51
19,30.76,24.50,23.51
20,31.05,24.68,23.51
21,31.33,24.77,23.60
22,31.62,24.95,23.60
23,31.91,25.04,23.69
24,32.29,25.22,23.69
25,32.58,25.31,23.78
26,32.78,25.49,23.78
27,33.07,25.67,23.87
28,33.36,25.77,23.87
29,33.55,25.95,23.96
30,33.75,26.04,24.05
31,34.04,26.22,24.14
32,34.24,26.31,24.14
33,34.44,26.49,24.23
34,34.64,26.59,24.32
35,34.84,26.77,24.41
36,35.04,26.95,24.50
37,35.24,27.04,24.59
38,35.34,27.23,24.68
39,35.54,27.32,24.77
40,35.64,27.50,24.86
41,35.84,27.69,24.95
42,36.04,27.78,25.04
43,36.24,27.87,25.13
44,36.45,28.05,25.22
45,36.55,28.15,25.31
46,36.65,28.33,25.49
47,36.86,28.42,25.49
48,37.06,28.61,25.67
49,37.16,28.70,25.77
50,37.37,28.79,25.86
51,37.47,28.98,25.95
52,37.58,29.07,26.04
53,37.68,29.26,26.22
54,37.89,29.35,26.31
55,37.99,29.45,26.40
56,38.20,29.54,26.49
57,38.31,29.73,26.59
58,38.41,29.82,26.68
59,38.62,29.92,26.77
60,38.73,30.01,26.95
61,38.83,30.20,27.04
62,38.94,30.29,27.13
63,39.04,30.39,27.23
64,39.26,30.48,27.32
65,39.36,30.67,27.41
66,39.47,30.76,27.50
67,39.58,30.86,27.59
68,39.79,30.95,27.78
69,39.90,31.14,27.87
70,40.01,31.24,27.96
71,40.12,31.33,28.05
72,40.33,31.43,28.15
73,40.44,31.62,28.24
74,40.55,31.72,28.33
75,40.55,31.81,28.52
76,40.66,31.91,28.61
77,40.77,32.00,28.70
78,40.77,32.10,28.79
79,40.88,32.20,28.89
80,40.99,32.29,28.98
81,41.10,32.49,29.07
82,41.21,32.49,29.17
83,41.32,32.58,29.26
84,41.43,32.78,29.35
85,41.54,32.87,29.45
86,41.54,32.97,29.54
87,41.65,33.07,29.63
88,41.76,33.16,29.73
89,41.87,33.26,29.92
90,41.87,33.36,30.01
91,41.87,33.55,30.10
92,41.98,33.65,30.20
93,41.98,33.75,30.29
94,42.09,33.85,30.39
95,42.09,33.95,30.48
96,42.21,34.04,30.57
97,42.32,34.14,30.67
98,42.32,34.24,30.76
99,42.32,34.34,30.86
100,42.43,34.34,30.95
101,42.43,34.54,31.05
102,42.54,34.54,31.05
103,42.66,34.64,31.24
104,42.66,34.74,31.33
105,42.66,34.84,31.43
106,42.77,34.94,31.52
107,42.77,35.04,31.52
108,42.88,35.04,31.62
109,42.88,35.14,31.72
110,43.00,35.24,31.81
111,43.11,35.34,31.91
112,43.11,35.44,31.91
113,43.23,35.54,32.00
114,43.23,35.64,32.10
115,43.34,35.64,32.20
116,43.34,35.74,32.29
117,43.46,35.84,32.39
118,43.69,35.84,32.49
119,43.80,35.94,32.58
120,43.80,35.94,32.58
121,43.92,36.04,32.68
122,43.92,36.14,32.78
123,44.03,36.24,32.78
124,44.15,36.35,32.87
125,44.15,36.35,32.97
126,44.15,36.45,33.07
127,44.15,36.45,33.07
128,44.15,36.55,33.16
129,44.15,36.65,33.26
130,44.27,36.75,33.36
131,44.27,36.75,33.46
132,44.38,36.86,33.46
133,44.38,36.86,33.55
134,44.50,36.96,33.65
135,44.62,37.06,33.65
136,44.62,37.06,33.75
137,44.74,37.06,33.85
138,44.85,37.16,33.85
139,44.97,37.27,33.95
140,45.09,37.27,34.04
141,45.21,37.37,34.04
142,45.33,37.37,34.14
143,45.45,37.47,34.14
144,45.45,37.58,34.24
145,45.57,37.58,34.34
146,45.69,37.68,34.44
147,45.81,37.68,34.44
148,45.81,37.78,34.54
149,45.93,37.89,34.54
150,46.05,37.89,34.64
151,46.17,37.99,34.64
152,46.17,38.10,34.74
153,46.05,38.10,34.84
154,46.05,38.20,34.84
155,46.17,38.20,34.94
156,46.17,38.31,34.94
157,46.29,38.31,35.04
158,46.29,38.41,35.14
159,46.29,38.52,35.14
160,46.29,38.52,35.24
161,46.29,38.62,35.24
162,46.41,38.62,35.34
163,46.41,38.73,35.44
164,46.41,38.73,35.44
165,46.54,38.83,35.54
166,46.66,38.83,35.54
167,46.78,38.94,35.64
168,46.90,38.94,35.64
169,46.90,39.04,35.74
170,47.03,39.04,35.74
171,47.03,39.15,35.84
172,47.03,39.26,35.84
173,47.03,39.26,35.94
174,47.03,39.36,35.94
175,47.15,39.36,36.04
176,47.15,39.47,36.14
177,47.15,39.58,36.14
178,47.15,39.58,36.14
179,47.15,39.68,36.24
180,47.15,39.68,36.24
181,47.28,39.79,36.35
182,47.28,39.79,36.35
183,47.40,39.79,36.45
184,47.52,39.90,36.55
185,47.52,39.90,36.55
186,47.65,39.90,36.55
187,47.65,39.90,36.65
188,47.78,40.01,36.65
189,47.78,40.01,36.75
190,47.90,40.01,36.75
191,47.90,40.12,36.86
192,48.03,40.22,36.86
193,48.03,40.22,36.96
194,48.03,40.22,36.96
195,48.03,40.33,37.06
196,48.03,40.44,37.06
197,48.15,40.44,37.06
198,48.03,40.55,37.16
199,48.15,40.55,37.16
200,48.15,40.55,37.16
201,48.15,40.66,37.27
202,48.15,40.66,37.37
203,48.15,40.77,37.37
204,48.15,40.77,37.37
205,48.15,40.77,37.47
206,48.15,40.88,37.47
207,48.28,40.88,37.58
208,48.28,40.99,37.58
209,48.15,40.99,37.68
210,48.28,41.10,37.68
211,48.28,41.10,37.68
212,48.41,41.10,37.78
213,48.41,41.21,37.78
214,48.41,41.21,37.78
215,48.41,41.21,37.89
216,48.53,41.21,37.89
217,48.53,41.32,37.99
218,48.53,41.43,37.99
219,48.53,41.43,38.10
220,48.66,41.54,38.20
221,48.79,41.54,38.31
222,48.92,41.65,38.31
223,49.05,41.65,38.31
224,49.05,41.65,38.31
225,49.18,41.65,38.41
226,49.31,41.76,38.41
227,49.31,41.76,38.52
228,49.31,41.76,38.52
229,49.31,41.87,38.52
230,49.31,41.98,38.62
231,49.18,41.98,38.62
232,49.18,41.98,38.73
233,49.05,42.09,38.73
234,49.18,42.09,38.73
235,49.18,42.21,38.73
236,49.18,42.21,38.83
237,49.18,42.21,38.83
238,49.31,42.21,38.94
239,49.44,42.21,38.94
240,49.44,42.21,38.94
241,49.57,42.32,38.94
242,49.57,42.32,38.94
243,49.57,42.32,39.04
244,49.57,42.32,39.04
245,49.57,42.43,39.04
246,49.44,42.54,39.04
247,49.44,42.54,39.15
248,49.44,42.54,39.15
249,49.44,42.54,39.15
250,49.44,42.54,39.15
251,49.57,42.54,39.15
252,49.70,42.54,39.15
253,49.70,42.54,39.26
254,49.83,42.54,39.26
255,49.96,42.54,39.26
256,49.96,42.66,39.36
257,49.83,42.66,39.36
258,49.83,42.66,39.36
259,49.96,42.77,39.47
260,49.96,42.66,39.47
261,50.09,42.77,39.47
262,50.09,42.77,39.47
263,50.23,42.77,39.58
264,50.23,42.77,39.58
265,50.36,42.77,39.58
266,50.36,42.88,39.58
268,50.23,42.88,39.68
269,50.23,42.88,39.68
270,50.23,43.00,39.68
271,50.36,43.00,39.68
272,50.23,43.00,39.79
273,50.36,43.11,39.79
274,50.36,43.11,39.79
275,50.36,43.23,39.79
276,50.36,43.23,39.79
277,50.36,43.23,39.79
278,50.36,43.34,39.90
279,50.36,43.34,39.90
280,50.36,43.46,39.90
281,50.23,43.46,39.90
282,50.23,43.46,40.01
283,50.23,43.57,40.01
284,50.23,43.57,40.01
285,50.23,43.57,40.01
286,50.36,43.57,40.01
287,50.36,43.57,40.01
288,50.23,43.57,40.12
289,50.23,43.57,40.12
290,50.36,43.57,40.12
291,50.49,43.57,40.22
292,50.49,43.57,40.22
293,50.63,43.57,40.22
294,50.49,43.57,40.22
295,50.49,43.69,40.22
296,50.49,43.69,40.33
297,50.49,43.69,40.33
298,50.63,43.69,40.33
299,50.63,43.69,40.33
300,50.76,43.69,40.44
301,50.89,43.69,40.44
302,51.03,43.69,40.44
303,51.03,43.69,40.44
304,50.89,43.69,40.44
305,50.89,43.69,40.44
306,50.89,43.69,40.44
307,50.89,43.80,40.55
308,50.76,43.80,40.55
309,50.76,43.80,40.55
310,50.76,43.92,40.66
311,50.76,43.92,40.66
312,50.76,43.92,40.66
313,50.76,44.03,40.66
314,50.76,44.03,40.66
315,50.76,44.03,40.77
316,50.76,44.03,40.77
317,50.76,44.15,40.77
318,50.63,44.15,40.77
319,50.76,44.15,40.77
320,50.76,44.15,40.88
321,50.76,44.15,40.88
322,50.89,44.27,40.88
323,51.03,44.27,40.88
324,51.03,44.27,40.88
325,51.03,44.38,40.99
326,51.03,44.27,40.99
327,51.03,44.38,40.99
328,51.03,44.38,40.99
329,51.03,44.38,41.10
330,51.03,44.38,41.10
331,51.03,44.38,41.10
332,51.16,44.38,41.10
333,51.16,44.38,41.10
334,51.30,44.38,41.21
335,51.30,44.38,41.10
336,51.44,44.38,41.21
337,51.44,44.38,41.21
338,51.44,44.38,41.21
339,51.44,44.38,41.21
340,51.57,44.38,41.32
341,51.57,44.38,41.32
342,51.44,44.38,41.32
343,51.44,44.50,41.32
344,51.44,44.50,41.32
345,51.44,44.50,41.32
346,51.30,44.62,41.43
347,51.30,44.62,41.43
348,51.30,44.62,41.43
349,51.30,44.74,41.43
350,51.30,44.74,41.43
351,51.30,44.74,41.43
352,51.30,44.74,41.43
353,51.30,44.74,41.43
354,51.30,44.74,41.54
355,51.30,44.85,41.54
356,51.16,44.85,41.43
357,51.16,44.85,41.54
358,51.16,44.85,41.54
359,51.30,44.85,41.54
360,51.30,44.85,41.43
361,51.30,44.85,41.54
362,51.30,44.85,41.54
363,51.30,44.97,41.54
364,51.30,44.85,41.54
365,51.30,44.85,41.54
366,51.30,44.85,41.54
367,51.30,44.97,41.65
368,51.44,44.85,41.65
369,51.44,44.85,41.65
370,51.30,44.85,41.65
371,51.44,44.97,41.65
372,51.44,44.97,41.65
373,51.44,44.97,41.65
374,51.57,45.09,41.65
375,51.71,45.09,41.76
376,51.85,45.09,41.76
377,51.99,45.09,41.76
378,51.99,45.09,41.76
379,51.99,45.09,41.76
380,51.99,45.09,41.76
381,51.99,45.09,41.76
382,51.99,45.09,41.76
383,51.85,45.09,41.76
384,51.85,45.09,41.76
385,51.99,45.09,41.76
386,51.99,45.09,41.87
387,52.12,45.09,41.87
388,52.12,45.09,41.87
389,52.12,45.09,41.87
390,51.99,45.21,41.87
391,51.99,45.21,41.87
392,51.85,45.21,41.98
393,51.85,45.21,41.98
394,51.85,45.21,41.98
395,51.99,45.21,41.98
396,51.85,45.21,41.98
397,51.85,45.33,41.87
398,51.85,45.33,41.98
399,51.85,45.33,41.98
400,51.85,45.33,41.98
401,51.85,45.33,41.98
402,51.85,45.33,41.98
403,51.85,45.33,41.98
404,51.85,45.33,41.98
405,51.85,45.45,41.98
406,51.85,45.45,41.98
407,51.85,45.45,41.98
408,51.85,45.45,41.98
409,51.71,45.45,42.09
410,51.71,45.45,42.09
411,51.71,45.45,42.09
412,51.71,45.45,42.09
413,51.71,45.33,42.21
414,51.85,45.33,42.21
415,51.85,45.33,42.21
416,51.85,45.33,42.21
417,51.85,45.33,42.32
418,51.85,45.33,42.32
419,51.85,45.33,42.32
420,51.85,45.21,42.32
421,51.85,45.33,42.32
422,51.85,45.33,42.32
423,51.85,45.33,42.32
424,51.99,45.33,42.21
425,51.85,45.33,42.32
426,51.85,45.45,42.32
427,51.85,45.45,42.21
428,51.85,45.45,42.21
429,51.85,45.45,42.21
430,51.85,45.45,42.21
431,51.85,45.45,42.21
432,51.85,45.45,42.21
433,51.99,45.45,42.21
434,51.99,45.45,42.21
435,51.85,45.45,42.21
436,51.85,45.57,42.21
437,51.85,45.57,42.21
438,51.85,45.57,42.21
439,51.85,45.45,42.21
440,51.85,45.45,42.21
441,51.85,45.45,42.21
442,51.85,45.45,42.21
443,51.85,45.45,42.21
444,51.85,45.45,42.21
445,51.85,45.45,42.21
446,51.85,45.45,42.21
447,51.85,45.45,42.21
448,51.85,45.57,42.32
449,51.85,45.57,42.32
450,51.85,45.57,42.32
451,51.85,45.57,42.32
452,51.99,45.57,42.32
453,51.99,45.45,42.32
454,52.12,45.57,42.21
455,52.12,45.57,42.21
456,52.12,45.57,42.32
457,52.12,45.57,42.21
458,52.26,45.69,42.32
459,52.26,45.69,42.32
460,52.26,45.69,42.32
461,52.26,45.69,42.32
462,52.26,45.69,42.32
463,52.26,45.69,42.32
464,52.26,45.69,42.32
465,52.26,45.69,42.32
466,52.12,45.69,42.43
467,52.12,45.69,42.43
468,52.12,45.69,42.43
469,52.12,45.69,42.32
470,52.12,45.69,42.43
471,52.12,45.69,42.43
472,52.12,45.69,42.54
473,52.12,45.57,42.54
474,52.26,45.57,42.66
475,52.12,45.57,42.66
476,52.26,45.57,42.66
477,52.26,45.57,42.77
478,52.12,45.69,42.77
479,52.26,45.69,42.77
480,52.26,45.69,42.66
481,52.40,45.81,42.66
482,52.26,45.81,42.77
483,52.26,45.81,42.77
484,52.26,45.81,42.88
485,52.40,45.69,42.88
486,52.40,45.69,42.88
487,52.40,45.57,42.88
488,52.40,45.57,42.88
489,52.40,45.57,42.88
490,52.40,45.57,42.88
491,52.54,45.57,42.88
492,52.54,45.57,42.88
493,52.54,45.57,42.88
494,52.40,45.69,42.88
495,52.40,45.69,42.88
496,52.54,45.69,42.88
497,52.54,45.69,42.88
498,52.54,45.69,42.88
499,52.54,45.81,42.88
500,52.54,45.81,42.77
501,52.54,45.81,42.77
502,52.40,45.93,42.88
503,52.40,45.93,42.88
504,52.40,45.93,42.88
505,52.40,45.93,42.88
506,52.40,45.81,42.88
507,52.40,45.93,42.77
508,52.40,45.93,42.77
509,52.40,45.93,42.77
510,52.40,45.93,42.77
511,52.26,45.81,42.77
512,52.26,45.81,42.77
513,52.26,45.81,42.77
514,52.26,45.81,42.77
515,52.26,45.81,42.77
516,52.26,45.93,42.77
517,52.26,45.93,42.77
518,52.26,45.93,42.77
519,52.26,45.93,42.77
520,52.26,45.93,42.77
521,52.26,45.93,42.77
522,52.26,45.93,42.77
523,52.26,46.05,42.77
524,52.40,46.05,42.77
525,52.40,46.05,42.77
526,52.26,46.05,42.77
527,52.26,46.05,42.77
528,52.26,46.05,42.77
529,52.26,46.05,42.77
530,52.26,46.05,42.77
531,52.40,46.05,42.77
532,52.40,46.05,42.77
533,52.40,46.05,42.88
535,52.40,46.05,42.88
536,52.40,46.05,42.88
537,52.40,45.93,42.77
538,52.40,46.05,42.77
539,52.40,46.05,42.77
540,52.54,46.05,42.77
541,52.40,46.05,42.77
542,52.40,46.05,42.77
543,52.26,46.05,42.88
544,52.40,46.05,42.88
545,52.40,46.05,42.88
546,52.54,45.93,42.77
547,52.54,45.93,42.88
548,52.54,45.93,42.77
549,52.54,45.93,42.88
550,52.54,45.93,42.88
551,52.68,45.93,42.88
552,52.82,45.93,42.88
553,52.82,45.93,42.77
554,52.96,45.93,42.77
555,53.10,45.93,42.77
556,53.10,45.93,42.77
557,53.10,46.05,42.77
558,53.25,46.05,42.77
559,53.25,46.17,42.88
560,53.25,46.17,42.88
561,53.25,46.17,42.88
562,53.39,46.29,42.88
563,53.39,46.29,42.88
564,53.25,46.29,42.88
565,53.25,46.29,43.00
566,53.25,46.29,42.88
567,53.25,46.17,43.00
568,53.25,46.17,43.00
569,53.25,46.17,43.00
570,53.25,46.17,43.00
571,53.39,46.17,43.00
572,53.39,46.17,43.00
573,53.39,46.17,43.00
574,53.39,46.17,43.00
575,53.39,46.17,43.00
576,53.39,46.17,43.00
577,53.39,46.17,42.88
578,53.39,46.17,42.88
579,53.39,46.17,42.88
580,53.25,46.17,42.88
581,53.25,46.17,43.00
582,53.10,46.17,43.00
583,53.10,46.17,43.00
584,53.10,46.17,43.00
585,53.25,46.17,43.00
586,53.25,46.17,43.00
587,53.39,46.17,43.00
588,53.39,46.29,43.00
589,53.39,46.29,43.00
590,53.39,46.17,43.00
591,53.39,46.17,43.00
592,53.39,46.17,43.00
593,53.53,46.17,43.00
594,53.53,46.17,43.00
595,53.39,46.29,43.00
596,53.39,46.29,43.00
597,53.39,46.29,43.00
598,53.39,46.29,43.00
599,53.39,46.17,43.00
600,53.39,46.29,43.00
601,53.53,46.29,43.00
602,53.39,46.29,43.00
603,53.39,46.29,43.00
604,53.39,46.29,43.00
605,53.25,46.29,43.00
606,53.25,46.29,43.00
607,53.25,46.29,43.00
608,53.25,46.29,43.00
609,53.25,46.29,43.00
610,53.10,46.29,43.00
611,53.10,46.29,43.00
612,53.10,46.29,43.00
613,53.10,46.29,43.00
614,53.10,46.29,43.00
615,53.10,46.29,43.00
616,53.10,46.29,43.00
617,53.10,46.41,43.00
618,53.10,46.41,43.00
619,53.10,46.41,43.11
620,53.10,46.41,43.11
621,53.10,46.41,43.11
622,52.96,46.54,43.11
623,52.96,46.54,43.11
624,52.96,46.41,43.23
625,52.82,46.54,43.11
626,52.82,46.54,43.11
627,52.82,46.54,43.11
628,52.82,46.54,43.11
629,52.82,46.54,43.11
630,52.82,46.54,43.23
631,52.82,46.54,43.23
632,52.68,46.54,43.11
633,52.68,46.54,43.11
634,52.68,46.54,43.11
635,52.68,46.41,43.11
636,52.68,46.54,43.11
637,52.82,46.54,43.11
638,52.82,46.54,43.11
639,52.82,46.54,43.11
640,52.96,46.54,43.11
